Home Team ,Away Team,Time,Stadium,Winner,Score,total goals 2.5
GALATASARAY A.Ş.,FENERBAHÇE A.Ş.,19:00,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,Draw,0-0,Under
GÖZTEPE A.Ş.,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,16:00,GÜRSEL AKSEL STADYUMU - İZMİR,Draw,2-2,Over
HES KABLO KAYSERİSPOR,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,13:30,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,Away,1-3,Over
İTTİFAK HOLDİNG KONYASPOR,BEŞİKTAŞ A.Ş.,16:00,KONYA BÜYÜKŞEHİR BELEDİYE STADYUMU - KONYA,Home,4-1,Over
TRABZONSPOR A.Ş.,YENİ MALATYASPOR,19:00,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,Home,3-1,Over
AYTEMİZ ALANYASPOR,ATAKAŞ HATAYSPOR,16:00,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,Home,6-0,Over
BEŞİKTAŞ A.Ş.,GENÇLERBİRLİĞİ,16:00,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,Away,0-1,Under
BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,ÇAYKUR RİZESPOR A.Ş.,16:00,ERZURUM KAZIM KARABEKİR - ERZURUM,Draw,0-0,Under
FENERBAHÇE A.Ş.,FATİH KARAGÜMRÜK A.Ş.,19:00,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,Home,2-1,Over
GAZİANTEP FUTBOL KULÜBÜ A.Ş.,TRABZONSPOR A.Ş.,20:00,KALYON STADYUMU - GAZİANTEP,Draw,1-1,Under
KASIMPAŞA A.Ş.,GALATASARAY A.Ş.,19:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,Home,1-0,Under
MEDİPOL BAŞAKŞEHİR FK,GÖZTEPE A.Ş.,16:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,Draw,0-0,Under
MKE ANKARAGÜCÜ,HES KABLO KAYSERİSPOR,20:00,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Home,0-1,Under
YENİ MALATYASPOR,FRAPORT-TAV ANTALYASPOR,13:30,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,Home,1-0,Under
YUKATEL DENİZLİSPOR,İTTİFAK HOLDİNG KONYASPOR,13:30,DENİZLİ ATATÜRK STADI - DENİZLİ,Draw,0-0,Under
ATAKAŞ HATAYSPOR,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,19:30,ANTAKYA ATATÜRK STADI - HATAY,Home,3-0,Over
